wafer_id,timestamp,chamber,recipe,fault_type,label
WF0332,2026-03-07 12:58:00,CH-B,OX_ETCH_B,NORMAL,0
WF0333,2026-03-07 13:21:00,CH-C,OX_ETCH_A,NORMAL,0
WF0334,2026-03-07 13:41:00,CH-A,OX_ETCH_B,NORMAL,0
WF0335,2026-03-07 14:03:00,CH-B,OX_ETCH_A,RF_UNSTABLE,1
WF0336,2026-03-07 14:28:00,CH-C,OX_ETCH_B,NORMAL,0
WF0337,2026-03-07 14:52:00,CH-A,OX_ETCH_A,NORMAL,0
WF0338,2026-03-07 15:17:00,CH-B,OX_ETCH_B,NORMAL,0
WF0339,2026-03-07 15:35:00,CH-C,OX_ETCH_A,NORMAL,0
WF0340,2026-03-07 16:02:00,CH-A,OX_ETCH_B,NORMAL,0
WF0341,2026-03-07 16:22:00,CH-B,OX_ETCH_A,NORMAL,0
WF0342,2026-03-07 16:45:00,CH-C,OX_ETCH_B,NORMAL,0
WF0343,2026-03-07 17:12:00,CH-A,OX_ETCH_A,NORMAL,0
WF0344,2026-03-07 17:31:00,CH-B,OX_ETCH_B,NORMAL,0
WF0345,2026-03-07 17:55:00,CH-C,OX_ETCH_A,RF_UNSTABLE,1
WF0346,2026-03-07 18:16:00,CH-A,OX_ETCH_B,NORMAL,0
WF0347,2026-03-07 18:41:00,CH-B,OX_ETCH_A,RF_UNSTABLE,1
WF0348,2026-03-07 19:04:00,CH-C,OX_ETCH_B,NORMAL,0
WF0349,2026-03-07 19:26:00,CH-A,OX_ETCH_A,NORMAL,0
WF0350,2026-03-07 19:53:00,CH-B,OX_ETCH_B,NORMAL,0
WF0351,2026-03-07 20:10:00,CH-C,OX_ETCH_A,NORMAL,0
WF0352,2026-03-07 20:39:00,CH-A,OX_ETCH_B,NORMAL,0
WF0353,2026-03-07 20:56:00,CH-B,OX_ETCH_A,NORMAL,0
WF0354,2026-03-07 21:24:00,CH-C,OX_ETCH_B,NORMAL,0
WF0355,2026-03-07 21:47:00,CH-A,OX_ETCH_A,NORMAL,0
WF0356,2026-03-07 22:11:00,CH-B,OX_ETCH_B,GAS_LEAK,1
WF0357,2026-03-07 22:31:00,CH-C,OX_ETCH_A,PRESSURE_DRIFT,1
WF0358,2026-03-07 22:54:00,CH-A,OX_ETCH_B,GAS_LEAK,1
WF0359,2026-03-07 23:14:00,CH-B,OX_ETCH_A,NORMAL,0
WF0360,2026-03-07 23:41:00,CH-C,OX_ETCH_B,NORMAL,0
WF0361,2026-03-08 00:02:00,CH-A,OX_ETCH_A,NORMAL,0
WF0362,2026-03-08 00:24:00,CH-B,OX_ETCH_B,PRESSURE_DRIFT,1
WF0363,2026-03-08 00:48:00,CH-C,OX_ETCH_A,NORMAL,0
WF0364,2026-03-08 01:13:00,CH-A,OX_ETCH_B,NORMAL,0
WF0365,2026-03-08 01:37:00,CH-B,OX_ETCH_A,RF_UNSTABLE,1
WF0366,2026-03-08 01:55:00,CH-C,OX_ETCH_B,GAS_LEAK,1
WF0367,2026-03-08 02:23:00,CH-A,OX_ETCH_A,NORMAL,0
WF0368,2026-03-08 02:43:00,CH-B,OX_ETCH_B,NORMAL,0
WF0369,2026-03-08 03:06:00,CH-C,OX_ETCH_A,PRESSURE_DRIFT,1
WF0370,2026-03-08 03:27:00,CH-A,OX_ETCH_B,NORMAL,0
WF0371,2026-03-08 03:51:00,CH-B,OX_ETCH_A,NORMAL,0
WF0372,2026-03-08 04:19:00,CH-C,OX_ETCH_B,NORMAL,0
WF0373,2026-03-08 04:41:00,CH-A,OX_ETCH_A,NORMAL,0
WF0374,2026-03-08 04:59:00,CH-B,OX_ETCH_B,NORMAL,0
WF0375,2026-03-08 05:23:00,CH-C,OX_ETCH_A,NORMAL,0
WF0376,2026-03-08 05:45:00,CH-A,OX_ETCH_B,NORMAL,0
WF0377,2026-03-08 06:14:00,CH-B,OX_ETCH_A,NORMAL,0
WF0378,2026-03-08 06:35:00,CH-C,OX_ETCH_B,NORMAL,0
WF0379,2026-03-08 06:54:00,CH-A,OX_ETCH_A,RF_UNSTABLE,1
WF0380,2026-03-08 07:20:00,CH-B,OX_ETCH_B,NORMAL,0
WF0381,2026-03-08 07:40:00,CH-C,OX_ETCH_A,NORMAL,0
WF0382,2026-03-08 08:05:00,CH-A,OX_ETCH_B,NORMAL,0
WF0383,2026-03-08 08:31:00,CH-B,OX_ETCH_A,NORMAL,0
WF0384,2026-03-08 08:50:00,CH-C,OX_ETCH_B,NORMAL,0
WF0385,2026-03-08 09:13:00,CH-A,OX_ETCH_A,RF_UNSTABLE,1
WF0386,2026-03-08 09:37:00,CH-B,OX_ETCH_B,NORMAL,0
WF0387,2026-03-08 10:02:00,CH-C,OX_ETCH_A,NORMAL,0
WF0388,2026-03-08 10:24:00,CH-A,OX_ETCH_B,NORMAL,0
WF0389,2026-03-08 10:49:00,CH-B,OX_ETCH_A,PRESSURE_DRIFT,1
WF0390,2026-03-08 11:08:00,CH-C,OX_ETCH_B,NORMAL,0
WF0391,2026-03-08 11:32:00,CH-A,OX_ETCH_A,NORMAL,0
WF0392,2026-03-08 11:57:00,CH-B,OX_ETCH_B,NORMAL,0
WF0393,2026-03-08 12:22:00,CH-C,OX_ETCH_A,NORMAL,0
WF0394,2026-03-08 12:41:00,CH-A,OX_ETCH_B,NORMAL,0
WF0395,2026-03-08 13:04:00,CH-B,OX_ETCH_A,NORMAL,0
WF0396,2026-03-08 13:26:00,CH-C,OX_ETCH_B,NORMAL,0
WF0397,2026-03-08 13:53:00,CH-A,OX_ETCH_A,NORMAL,0
WF0398,2026-03-08 14:14:00,CH-B,OX_ETCH_B,PRESSURE_DRIFT,1
WF0399,2026-03-08 14:35:00,CH-C,OX_ETCH_A,NORMAL,0
WF0400,2026-03-08 15:00:00,CH-A,OX_ETCH_B,NORMAL,0
